"","Cadre","Exécution","Maîtrise","Total général","year","month","date"
"X1_2017","3876","2016","3870",9762,2017,1,"2017-01-01"
"X10_2017","4400","2055","3463",9918,2017,10,"2017-10-01"
"X11_2017","4404","2057","3481",9942,2017,11,"2017-11-01"
"X12_2017","4496","2048","3405",9949,2017,12,"2017-12-01"
"X2_2017","3880","2021","3864",9765,2017,2,"2017-02-01"
"X3_2017","4008","2016","3753",9777,2017,3,"2017-03-01"
"X4_2017","4051","2000","3723",9774,2017,4,"2017-04-01"
"X5_2017","4051","2000","3723",9774,2017,5,"2017-05-01"
"X6_2017","4291","2051","3508",9850,2017,6,"2017-06-01"
"X7_2017","4326","2050","3475",9851,2017,7,"2017-07-01"
"X8_2017","4359","2048","3456",9863,2017,8,"2017-08-01"
"X9_2017","4359","2048","3479",9886,2017,9,"2017-09-01"
"X1_2018","4254","1989","3360",9603,2018,1,"2018-01-01"
"X10_2018","4471","1933","3269",9673,2018,10,"2018-10-01"
"X11_2018","4505","1936","3245",9686,2018,11,"2018-11-01"
"X12_2018","4507","1937","3248",9692,2018,12,"2018-12-01"
"X2_2018","4302","1973","3327",9602,2018,2,"2018-02-01"
"X3_2018","4302","1972","3327",9601,2018,3,"2018-03-01"
"X4_2018","4308","1973","3328",9609,2018,4,"2018-04-01"
"X5_2018","4433","1935","3254",9622,2018,5,"2018-05-01"
"X6_2018","4469","1936","3273",9678,2018,6,"2018-06-01"
"X7_2018","4471","1936","3271",9678,2018,7,"2018-07-01"
"X8_2018","4469","1936","3270",9675,2018,8,"2018-08-01"
"X9_2018","4470","1936","3271",9677,2018,9,"2018-09-01"
"X1_2019","4469","1847","3029",9345,2019,1,"2019-01-01"
"X10_2019","4478","1937","3117",9532,2019,10,"2019-10-01"
"X11_2019","4480","1937","3114",9531,2019,11,"2019-11-01"
"X12_2019","4510","1938","3094",9542,2019,12,"2019-12-01"
"X2_2019","4473","1848","3026",9347,2019,2,"2019-02-01"
"X3_2019","4475","1847","3023",9345,2019,3,"2019-03-01"
"X4_2019","4475","1846","3021",9342,2019,4,"2019-04-01"
"X5_2019","4475","1844","3021",9340,2019,5,"2019-05-01"
"X6_2019","4477","1843","3020",9340,2019,6,"2019-06-01"
"X7_2019","4478","1843","3021",9342,2019,7,"2019-07-01"
"X8_2019","4478","1843","3021",9342,2019,8,"2019-08-01"
"X9_2019","4478","1843","3117",9438,2019,9,"2019-09-01"
"X1_2020","4302","1900","3059",9261,2020,1,"2020-01-01"
"X10_2020","4384","1875","3018",9277,2020,10,"2020-10-01"
"X11_2020","4384","1875","3018",9277,2020,11,"2020-11-01"
"X12_2020","4535","1843","2897",9275,2020,12,"2020-12-01"
"X2_2020","4342","1893","3030",9265,2020,2,"2020-02-01"
"X3_2020","4343","1893","3029",9265,2020,3,"2020-03-01"
"X4_2020","4344","1894","3039",9277,2020,4,"2020-04-01"
"X5_2020","4380","1875","3022",9277,2020,5,"2020-05-01"
"X6_2020","4380","1875","3022",9277,2020,6,"2020-06-01"
"X7_2020","4382","1875","3019",9276,2020,7,"2020-07-01"
"X8_2020","4382","1874","3020",9276,2020,8,"2020-08-01"
"X9_2020","4383","1874","3018",9275,2020,9,"2020-09-01"
"X1_2021","4360","1821","2868",9049,2021,1,"2021-01-01"
"X10_2021","4714","1656","2658",9028,2021,10,"2021-10-01"
"X11_2021","4714","1656","2657",9027,2021,11,"2021-11-01"
"X12_2021","4721","1654","2652",9027,2021,12,"2021-12-01"
"X2_2021","4360","1821","2867",9048,2021,2,"2021-02-01"
"X3_2021","4361","1820","2864",9045,2021,3,"2021-03-01"
"X4_2021","4545","1817","2679",9041,2021,4,"2021-04-01"
"X5_2021","4544","1815","2677",9036,2021,5,"2021-05-01"
"X6_2021","4543","1814","2676",9033,2021,6,"2021-06-01"
"X7_2021","4543","1813","2677",9033,2021,7,"2021-07-01"
"X8_2021","4552","1814","2667",9033,2021,8,"2021-08-01"
"X9_2021","4552","1813","2668",9033,2021,9,"2021-09-01"
