"","8","9","10","11","1","2","3","4","5","6","7","year","month","date"
"X1_2017","2292","1092"," 388"," 104"," 961","   7","  59","  83"," 906"," 895","2975",2017,1,"2017-01-01"
"X1_2018","2432","1179"," 499"," 144"," 674"," 254","  42","  80"," 939"," 749","2611",2018,1,"2018-01-01"
"X1_2019","2484","1274"," 530"," 181"," 487"," 415","  25","  83"," 837"," 818","2211",2019,1,"2019-01-01"
"X1_2020","2403","1191"," 540"," 168"," 361"," 514","  16","  78"," 931"," 896","2163",2020,1,"2020-01-01"
"X1_2021","2227","1386"," 572"," 175"," 238"," 541","  14","  67"," 961"," 883","1985",2021,1,"2021-01-01"
"X10_2017","2548","1214"," 489"," 149"," 704"," 268","  48","  80"," 955"," 817","2646",2017,10,"2017-10-01"
"X10_2018","2432","1302"," 552"," 185"," 503"," 426","  37","  87"," 880"," 800","2469",2018,10,"2018-10-01"
"X10_2019","2491","1262"," 544"," 181"," 369"," 530","  26","  83"," 929"," 912","2205",2019,10,"2019-10-01"
"X10_2020","2404","1235"," 559"," 186"," 243"," 551","  14","  75"," 992"," 911","2107",2020,10,"2020-10-01"
"X10_2021","2220","1579"," 694"," 221"," 237"," 539","   7","  64"," 809"," 929","1729",2021,10,"2021-10-01"
"X11_2017","2545","1221"," 489"," 149"," 704"," 268","  48","  81"," 956"," 828","2653",2017,11,"2017-11-01"
"X11_2018","2425","1326"," 552"," 202"," 501"," 428","  35","  86"," 886"," 800","2445",2018,11,"2018-11-01"
"X11_2019","2493","1262"," 544"," 181"," 369"," 530","  26","  82"," 930"," 912","2202",2019,11,"2019-11-01"
"X11_2020","2404","1235"," 559"," 186"," 243"," 551","  14","  75"," 992"," 910","2108",2020,11,"2020-11-01"
"X11_2021","2220","1579"," 694"," 221"," 237"," 539","   7","  64"," 809"," 929","1728",2021,11,"2021-11-01"
"X12_2017","2586","1230"," 526"," 154"," 704"," 268","  45","  81"," 950"," 751","2654",2017,12,"2017-12-01"
"X12_2018","2427","1326"," 552"," 202"," 501"," 428","  35","  86"," 887"," 801","2447",2018,12,"2018-12-01"
"X12_2019","2507","1252"," 567"," 184"," 369"," 530","  17","  85"," 937"," 904","2190",2019,12,"2019-12-01"
"X12_2020","2309","1434"," 601"," 191"," 242"," 552","  14","  72"," 963"," 888","2009",2020,12,"2020-12-01"
"X12_2021","2211","1582"," 699"," 229"," 237"," 539","   7","  64"," 807"," 931","1721",2021,12,"2021-12-01"
"X2_2017","2295","1094"," 388"," 103"," 962","   7","  59","  83"," 910"," 893","2971",2017,2,"2017-02-01"
"X2_2018","2435","1207"," 515"," 145"," 674"," 255","  40","  80"," 924"," 751","2576",2018,2,"2018-02-01"
"X2_2019","2488","1261"," 543"," 181"," 487"," 415","  26","  83"," 837"," 818","2208",2019,2,"2019-02-01"
"X2_2020","2405","1211"," 544"," 182"," 360"," 515","  14","  77"," 927"," 896","2134",2020,2,"2020-02-01"
"X2_2021","2227","1386"," 572"," 175"," 238"," 541","  14","  67"," 961"," 882","1985",2021,2,"2021-02-01"
"X3_2017","2374","1136"," 395"," 103"," 963","   7","  56","  82"," 908"," 816","2937",2017,3,"2017-03-01"
"X3_2018","2434","1207"," 515"," 146"," 674"," 255","  40","  80"," 923"," 751","2576",2018,3,"2018-03-01"
"X3_2019","2490","1261"," 543"," 181"," 487"," 414","  26","  83"," 837"," 817","2206",2019,3,"2019-03-01"
"X3_2020","2405","1212"," 544"," 182"," 360"," 515","  14","  77"," 927"," 896","2133",2020,3,"2020-03-01"
"X3_2021","2228","1386"," 572"," 175"," 238"," 541","  14","  67"," 960"," 880","1984",2021,3,"2021-03-01"
"X4_2017","2381","1152"," 408"," 110"," 961","   8","  54","  81"," 896"," 814","2909",2017,4,"2017-04-01"
"X4_2018","2437","1210"," 515"," 146"," 503"," 426","  40","  80"," 924"," 750","2578",2018,4,"2018-04-01"
"X4_2019","2489","1262"," 543"," 181"," 487"," 414","  26","  83"," 836"," 817","2204",2019,4,"2019-04-01"
"X4_2020","2406","1212"," 544"," 182"," 360"," 515","  14","  77"," 928"," 905","2134",2020,4,"2020-04-01"
"X4_2021","2224","1473"," 645"," 203"," 238"," 539","   7","  66"," 967"," 842","1837",2021,4,"2021-04-01"
"X5_2017","2381","1152"," 408"," 110"," 961","   8","  54","  81"," 896"," 814","2909",2017,5,"2017-05-01"
"X5_2018","2405","1299"," 550"," 179"," 502"," 426","  37","  86"," 884"," 794","2460",2018,5,"2018-05-01"
"X5_2019","2488","1262"," 544"," 181"," 486"," 414","  26","  83"," 835"," 817","2204",2019,5,"2019-05-01"
"X5_2020","2410","1234"," 553"," 183"," 356"," 519","  14","  76"," 910"," 915","2107",2020,5,"2020-05-01"
"X5_2021","2224","1472"," 645"," 203"," 238"," 539","   7","  66"," 965"," 842","1835",2021,5,"2021-05-01"
"X6_2017","2560","1160"," 438"," 133"," 702"," 267","  51","  79"," 952"," 809","2699",2017,6,"2017-06-01"
"X6_2018","2431","1305"," 548"," 185"," 505"," 426","  37","  87"," 881"," 801","2472",2018,6,"2018-06-01"
"X6_2019","2489","1263"," 544"," 181"," 369"," 531","  26","  83"," 834"," 816","2204",2019,6,"2019-06-01"
"X6_2020","2410","1234"," 553"," 183"," 322"," 472","  14","  76"," 991"," 915","2107",2020,6,"2020-06-01"
"X6_2021","2224","1472"," 644"," 203"," 238"," 538","   7","  66"," 965"," 841","1835",2021,6,"2021-06-01"
"X7_2017","2548","1166"," 477"," 135"," 701"," 268","  50","  80"," 951"," 801","2674",2017,7,"2017-07-01"
"X7_2018","2432","1303"," 551"," 185"," 505"," 426","  37","  87"," 881"," 801","2470",2018,7,"2018-07-01"
"X7_2019","2491","1262"," 544"," 181"," 369"," 531","  26","  83"," 834"," 818","2203",2019,7,"2019-07-01"
"X7_2020","2403","1235"," 559"," 185"," 322"," 472","  14","  75"," 992"," 913","2106",2020,7,"2020-07-01"
"X7_2021","2224","1472"," 644"," 203"," 238"," 538","   7","  66"," 964"," 841","1836",2021,7,"2021-07-01"
"X8_2017","2565","1170"," 479"," 145"," 701"," 268","  49","  81"," 949"," 799","2657",2017,8,"2017-08-01"
"X8_2018","2432","1302"," 550"," 185"," 505"," 426","  37","  87"," 881"," 801","2469",2018,8,"2018-08-01"
"X8_2019","2491","1262"," 544"," 181"," 369"," 531","  26","  83"," 834"," 818","2203",2019,8,"2019-08-01"
"X8_2020","2403","1235"," 559"," 185"," 243"," 551","  14","  75"," 991"," 913","2107",2020,8,"2020-08-01"
"X8_2021","2213","1483"," 644"," 212"," 238"," 539","   7","  65"," 965"," 839","1828",2021,8,"2021-08-01"
"X9_2017","2565","1170"," 479"," 145"," 701"," 268","  49","  81"," 949"," 809","2670",2017,9,"2017-09-01"
"X9_2018","2432","1302"," 551"," 185"," 505"," 426","  37","  87"," 881"," 801","2470",2018,9,"2018-09-01"
"X9_2019","2491","1262"," 544"," 181"," 369"," 531","  26","  83"," 834"," 912","2205",2019,9,"2019-09-01"
"X9_2020","2403","1235"," 559"," 186"," 243"," 551","  14","  75"," 991"," 911","2107",2020,9,"2020-09-01"
"X9_2021","2210","1485"," 645"," 212"," 238"," 539","   7","  64"," 965"," 840","1828",2021,9,"2021-09-01"
